studentname,studentname,studentname,studentname,studentname,studentname,studentname,studentname,studentname,studentname,studentname,10thmark,12thmark,cutoff,Annualincome,community,extracurricularinfo,gender,age,numberofprojects,numberofresearchpapers,levelofresearchpapers,competitions,gatescore,grescore,gmatscore,catscore,toeflscore,ieltsscore,leetcodecount,codechefstars,languagesknown,onlinecourses,internship,preferredcountry,preferreddegree,preferredcourse
Austin Clark,S212449,Computer Science,A,1st,2025,9/9/1993,"2038 Gordon Wells
West Cameronville, NY 47438",001-905-452-2581x4425,hbarron@example.org,5.63,97,57,83,67938,OBC,None,Other,26,9,2,Local,Quiz,27,281,529,18,7,2,82,3,German,None,No,UK,M.Sc,Machine Learning
Dale Black,S964092,Mechanical,C,4th,2027,12/23/2004,"432 Levy Rue Suite 695
Jeffreyburgh, VI 24855",4348155439,ekhan@example.com,3.28,98,88,72,54190,SC,Arts,Male,28,10,3,Local,Hackathon,48,274,744,68,89,7,49,4,French,Udacity,Yes,UK,MBA,Software Engineering
Lisa Whitaker,S574275,Data Science,B,4th,2028,6/11/1998,"85167 Lauren Villages
Port Alexis, DC 34686",+1-976-961-3038x68391,mitchellrebecca@example.com,0.88,87,67,88,117143,General,None,Female,28,4,0,National,None,23,310,220,29,107,4,1,0,Spanish,Coursera,No,Canada,M.Tech,Data Science
Thomas Pierce,S899769,Electronics,C,2nd,2025,10/15/1994,"0458 Jacobs Trail Suite 247
Lake Randy, ND 65514",836-482-7575,ethan42@example.net,9.14,100,50,85,82493,OBC,Arts,Male,25,2,0,International,Hackathon,52,278,393,18,21,1,89,4,Spanish,Coursera,No,Canada,PhD,Software Engineering
David Cruz,S627281,Computer Science,C,1st,2028,1/11/2003,"9146 Kimberly Greens
Johnsonborough, IL 73674",-3882,cheryl44@example.com,3.56,67,95,83,37804,SC,Music,Male,20,7,0,International,None,72,287,446,0,37,2,75,5,Chinese,Coursera,No,USA,M.Sc,Data Science
Samantha Ward,S841147,Data Science,B,3rd,2026,11/16/1999,"779 Robert Forks Suite 931
Annamouth, TN 07011",(546)757-7088x403,sandra84@example.org,4.6,79,87,92,41463,ST,Sports,Female,23,4,0,Local,None,64,296,743,96,59,6,90,2,English,Coursera,Yes,Australia,M.Tech,Software Engineering
Angela Hall,S374880,Data Science,C,1st,2027,8/9/2001,"37225 Donna Island Apt. 640
Brendaside, MP 32913",4772367396,margaret48@example.net,4.66,98,81,96,119471,General,Music,Female,21,10,3,National,Quiz,25,287,270,9,23,8,4,5,French,Udacity,Yes,USA,M.Sc,AI
Claudia Martinez,S587373,Electronics,C,3rd,2028,1/1/2003,"918 Jeffery Vista Apt. 581
Washingtonton, FM 30403",676.395.2409,whitejacqueline@example.org,9.77,65,90,76,71627,SC,Music,Male,26,4,1,International,Coding Contest,78,261,745,33,90,2,55,3,Spanish,Coursera,No,Canada,M.Sc,Data Science
Edward Wolfe,S759172,Mechanical,C,2nd,2027,8/10/2005,"602 Malone Trail
Shannonville, SD 04383",(805)695-9913x7073,james51@example.com,9.35,85,93,89,71670,ST,None,Other,30,9,0,National,Coding Contest,78,278,548,47,17,1,22,5,Spanish,None,Yes,USA,PhD,Machine Learning
Rachael Cardenas,S764981,Computer Science,B,1st,2028,3/18/2004,"990 Rogers Keys
North Christine, GU 59707",-2090,bryantjames@example.org,3.94,99,95,85,56496,SC,Sports,Other,22,3,4,International,Quiz,48,319,385,60,50,9,100,5,Spanish,Udacity,Yes,USA,M.Sc,Data Science
Alexander Martinez,S900826,Computer Science,A,3rd,2026,9/10/2000,"7649 Monica Wall
New Christopher, OR 41348",001-951-935-8722x744,castrostacey@example.org,3.61,66,94,83,95373,SC,Music,Male,29,3,3,National,Coding Contest,31,297,434,87,64,3,66,4,German,Udacity,Yes,USA,MBA,Data Science
Charles Preston,S200524,Mechanical,C,3rd,2027,7/30/2005,"671 Darryl Parkways Apt. 356
North Roychester, WV 41179",372.776.1610,keithgary@example.net,1.13,67,82,50,51372,ST,None,Other,21,0,0,National,Quiz,9,303,354,43,76,0,64,4,German,None,No,Canada,MBA,AI
Amanda Richardson,S761302,Mechanical,A,2nd,2027,2/2/2001,"88676 Nicole Bypass
New Jakechester, NY 61500",001-690-304-0720x593,townsenddavid@example.net,1.14,68,74,54,70844,ST,Arts,Male,30,1,2,Local,Hackathon,96,340,762,81,80,8,66,1,Chinese,None,No,Canada,M.Tech,Data Science
Jennifer Sullivan,S551713,Mechanical,C,3rd,2026,5/19/1995,"20336 Jacob Bypass Suite 617
Lake Theresastad, MS 54560",+1-993-861-7289x3054,riosstephanie@example.com,7.58,77,53,74,84610,SC,Sports,Other,19,9,0,International,Coding Contest,53,275,335,38,23,5,23,2,Chinese,Udacity,No,Germany,MBA,Data Science
Corey Daniels,S273969,Data Science,B,1st,2028,10/27/2001,"USNV Johnson
FPO AP 34291",325-291-9386,maysmaria@example.com,9.53,68,53,73,89183,ST,Arts,Other,27,2,2,National,None,22,272,283,13,115,0,58,1,English,edX,Yes,UK,MBA,Software Engineering
Jennifer Graves,S218952,Mechanical,B,1st,2025,4/21/2006,"41480 Pitts Shoals Suite 512
Juanside, AR 42771",6402450385,ostevens@example.net,2,72,52,95,48351,SC,Music,Female,25,1,4,International,Coding Contest,31,291,796,32,99,7,83,5,Spanish,Coursera,No,UK,MBA,Machine Learning
Michael Warner,S560402,Electronics,A,1st,2028,5/20/2003,"98301 Joshua Green Suite 870
Port James, DE 39112",001-467-748-5044x2279,sfoster@example.org,7.4,58,59,89,72238,ST,Music,Other,22,2,0,National,Coding Contest,2,318,385,11,27,6,80,5,German,Coursera,Yes,Canada,M.Sc,Machine Learning
William Fleming,S464099,Data Science,B,2nd,2028,2/10/2005,"5135 Tina Spring Suite 140
East Kevin, NV 12791",310-394-5157,xnorris@example.com,1.14,68,64,65,45826,SC,Music,Male,22,10,2,National,None,92,332,416,74,115,4,73,3,Spanish,edX,Yes,Australia,M.Tech,Machine Learning
Jesse Foster,S557266,Mechanical,B,3rd,2028,9/5/1999,"9366 James Divide
Potterborough, UT 98637",337-922-3896x530,cherylryan@example.net,8.34,59,78,69,95077,ST,Arts,Female,23,6,2,National,Quiz,53,264,607,40,109,0,60,4,English,edX,Yes,USA,PhD,Data Science
Lisa Mueller,S345417,Data Science,B,3rd,2028,7/12/2004,"6190 Clements Junction Suite 153
Tiffanytown, VI 42406",001-416-472-0090,ywalker@example.net,9.38,81,72,62,43162,OBC,Sports,Male,26,2,0,National,Coding Contest,88,337,579,35,68,7,68,2,French,Coursera,Yes,Canada,PhD,Data Science
Kevin Mason,S360506,Mechanical,A,3rd,2028,10/20/2003,"PSC 9482, Box 1833
APO AE 84854",4229859268,robertperry@example.com,3.65,92,98,94,83473,OBC,Arts,Female,29,0,1,Local,Hackathon,70,293,695,21,120,3,35,2,Chinese,Udacity,Yes,Canada,PhD,Machine Learning
Julia Bell,S910391,Mechanical,B,4th,2025,10/23/1995,"PSC 4121, Box 1938
APO AE 36743",518-519-9884x5283,xmartin@example.com,0.58,64,71,56,34335,General,Music,Male,22,6,2,National,Quiz,5,268,305,93,70,3,47,0,Spanish,None,Yes,Australia,M.Tech,Software Engineering
James Gray,S145305,Mechanical,A,4th,2027,8/10/2000,"4717 Laurie Club Apt. 287
West Tannerbury, IN 75377",525.592.1369x0907,ruizcharles@example.net,8.01,71,85,81,93283,General,Music,Other,25,4,0,National,None,47,312,600,51,91,0,79,0,French,Udacity,Yes,Germany,M.Tech,Data Science
George Watson,S148591,Computer Science,A,2nd,2028,7/14/1999,"23391 Angel Mountain Suite 771
South Tinaview, CT 84546",+1-960-679-7071x3793,wangkevin@example.com,2.58,71,93,81,55958,General,None,Other,29,8,2,Local,Coding Contest,34,321,364,83,46,6,24,2,French,edX,Yes,USA,PhD,AI
April Barrett,S466471,Mechanical,A,3rd,2028,3/4/2001,"3116 Ebony Meadows
South Nicolehaven, TX 16736",230-975-8575,mark80@example.org,0.22,73,71,70,49820,General,Sports,Male,25,10,0,International,Hackathon,64,274,541,14,79,4,42,3,French,edX,Yes,USA,M.Sc,AI
Stephen Davis,S179724,Electronics,C,3rd,2026,2/9/1995,"637 Tapia Shoal Suite 343
South Andrea, OK 24374",001-674-433-7324,jacksontracey@example.com,8.77,60,90,92,107870,General,Sports,Other,27,10,4,International,Hackathon,69,338,772,52,51,1,11,1,Spanish,Udacity,Yes,Germany,M.Tech,Machine Learning
Katie Cummings,S481317,Data Science,B,2nd,2025,11/2/1995,"180 Matthew Cliffs
Clinemouth, OK 38671",+1-852-875-1723x83904,mikelewis@example.org,0.47,88,73,57,78532,OBC,Sports,Female,23,4,4,National,Quiz,47,272,746,47,57,7,85,5,Spanish,edX,No,Germany,M.Sc,Data Science
Russell Miller,S845213,Computer Science,B,3rd,2026,2/15/2006,"3967 Mcgrath Park
Davidchester, NJ 70942",305-474-3758x353,laura58@example.org,0.76,60,52,98,60813,ST,None,Other,20,10,3,National,Quiz,88,314,468,95,83,3,65,0,German,Coursera,Yes,Germany,M.Tech,Software Engineering
Jamie Jones,S924571,Mechanical,A,4th,2028,8/23/1994,"912 Elizabeth Route Apt. 024
New Evelynhaven, FL 16313",(710)801-5173x67422,matthew66@example.org,9.47,61,91,99,35297,General,Sports,Female,29,2,1,Local,Coding Contest,90,274,754,52,118,6,23,2,English,edX,Yes,UK,PhD,Software Engineering
Samantha Avila,S232464,Computer Science,B,1st,2027,6/14/1995,"990 Anderson Common Suite 269
Scottton, WA 01575",683-891-4640x89689,alexandra89@example.com,7.05,79,70,88,102638,OBC,Sports,Male,19,3,4,National,Quiz,61,297,564,88,54,4,67,0,Spanish,Coursera,Yes,Australia,M.Tech,Software Engineering
Michael Thomas,S261475,Data Science,A,4th,2028,12/20/1998,"967 Phillips Crossing
North Barbara, IL 31948",(830)708-7460x78788,sandra98@example.com,1.71,92,64,66,105286,General,Music,Female,29,10,5,International,Coding Contest,73,304,621,80,29,1,9,2,French,Coursera,No,Australia,PhD,Data Science
Jamie Grimes,S525662,Computer Science,C,4th,2028,8/26/2002,"42369 Porter Fork Apt. 453
Fosterport, KS 75518",818.648.9510x90200,jenniferjordan@example.com,3.84,64,93,61,78104,OBC,Arts,Female,19,7,3,International,Hackathon,66,293,310,57,14,9,44,2,French,Udacity,No,USA,PhD,Software Engineering
Christina Weiss,S418678,Data Science,A,2nd,2026,8/20/2004,"916 Jim Summit
Emilybury, TN 82431",001-791-244-8089x12364,gellison@example.org,9.85,94,63,56,49044,General,Music,Other,29,0,2,Local,Coding Contest,100,327,322,88,100,2,76,4,English,Coursera,No,UK,M.Sc,Machine Learning
Mr. Jared Li,S958736,Computer Science,B,1st,2028,2/8/2001,"7784 Hampton Village Apt. 652
West Josephborough, NH 75905",868-260-2733x085,justinhubbard@example.net,6.41,57,84,96,113538,SC,Arts,Female,30,1,4,National,Quiz,88,265,223,90,118,5,34,4,French,Udacity,No,Canada,PhD,Data Science
Andrew Davis,S768674,Data Science,A,4th,2027,2/9/2005,"646 Bass Locks
Riosfurt, UT 06289",214.960.5597x85948,ywilson@example.com,7.72,67,63,54,48772,ST,Music,Female,23,6,2,International,Coding Contest,35,281,538,34,73,7,10,4,English,edX,Yes,Australia,PhD,Software Engineering
Jacob Boyd,S777050,Data Science,B,4th,2025,1/7/1998,"9347 Rivera Lakes
South Sherri, IN 46471",4107351785,tjackson@example.org,8.07,91,77,88,100138,SC,Arts,Female,26,9,3,International,Hackathon,10,298,202,48,11,2,50,0,French,Coursera,Yes,Germany,MBA,Data Science
Denise Snyder,S455112,Mechanical,A,3rd,2027,10/18/1999,"422 Jessica Divide Apt. 562
Mathewshire, IN 46654",(603)311-4316x58213,alejandrobriggs@example.org,0.4,88,69,62,66570,SC,Music,Other,28,0,3,Local,Coding Contest,66,288,238,90,39,8,27,4,Chinese,edX,No,Germany,M.Sc,Data Science
Ann Montgomery,S695482,Mechanical,C,4th,2028,5/21/1994,"795 Elizabeth Mill Suite 971
Bobbyview, KS 27685",+1-963-329-0268x19648,wooddana@example.org,6.68,85,100,74,40817,OBC,Music,Male,27,5,5,Local,Hackathon,90,275,619,5,79,3,31,4,French,Coursera,No,Canada,PhD,Data Science
Cheryl Smith,S525711,Mechanical,B,1st,2025,11/15/1994,"170 Williams Point
Jonathanstad, AL 96384",620.840.5498,estradarobert@example.com,0.29,78,88,61,39677,ST,Music,Female,18,7,5,National,None,82,310,422,88,16,7,33,5,Chinese,Udacity,No,Australia,MBA,Data Science
Lisa Jarvis,S781296,Mechanical,A,1st,2027,5/22/2002,"54471 Wood Brook Suite 216
North Adamchester, MO 90733",883-933-0644x9152,brookelewis@example.com,3.65,63,52,52,83297,OBC,None,Other,29,0,0,Local,Hackathon,90,281,610,79,23,2,2,5,Spanish,edX,Yes,UK,PhD,AI
Kayla Tran,S802723,Mechanical,A,2nd,2028,12/20/1995,"47595 Joanne Dale
Faulknerville, ME 87219",001-373-771-3403,rwilliams@example.net,2,93,55,73,112643,OBC,None,Female,26,2,5,International,Quiz,6,307,762,12,104,5,30,4,English,Udacity,No,Australia,M.Tech,Machine Learning
Cameron Smith,S535096,Data Science,C,2nd,2026,1/2/2001,"63772 Sarah Street
Rachelchester, PR 94728",+1-491-477-0594x1219,mchristian@example.net,4.71,59,77,91,46773,OBC,Music,Female,28,3,5,Local,Coding Contest,20,288,321,53,77,1,19,2,French,edX,No,USA,PhD,Data Science
Leonard Patterson,S529953,Data Science,B,2nd,2026,11/19/2005,"61335 Jackson Keys
Franciscobury, ID 35410",208.448.4974x21971,james89@example.org,9.27,74,72,76,36351,OBC,Music,Other,23,10,4,International,None,18,332,657,93,90,2,56,5,German,None,No,Canada,M.Tech,Machine Learning
John Liu,S984880,Computer Science,A,1st,2028,11/18/1999,"674 Ramirez Turnpike
Lake Jeremy, IA 21523",001-363-524-2099,terriroberts@example.com,3.6,82,79,76,103807,ST,None,Female,21,4,1,National,Quiz,83,291,702,57,57,0,42,3,English,edX,Yes,USA,M.Sc,Machine Learning
Joshua Santos,S587425,Data Science,B,1st,2028,6/20/1997,"PSC 4419, Box 6969
APO AE 30221",001-610-860-8922x4388,shardin@example.org,4.79,64,70,98,50453,SC,Sports,Other,29,6,1,International,Quiz,14,279,730,62,18,4,6,5,German,Coursera,No,USA,PhD,AI
Roy Francis,S666641,Mechanical,C,1st,2028,9/6/2000,"0288 Jillian Forest
Lake Laurie, GA 27774",+1-317-658-7888x8482,andraderyan@example.net,0.21,51,66,79,106347,ST,None,Male,26,4,3,Local,None,69,306,651,22,108,3,56,0,English,Udacity,Yes,Germany,MBA,Machine Learning
Jessica Marshall,S836968,Electronics,C,2nd,2025,11/2/2005,"13230 Daniel Avenue Apt. 468
Elliottside, TN 91098",3164625497,gloria07@example.net,9.26,68,57,98,53540,OBC,Music,Female,31,0,3,National,Coding Contest,86,274,514,72,49,4,15,3,English,Udacity,Yes,Germany,M.Sc,Data Science
Jennifer Johnson,S764990,Data Science,B,1st,2025,2/16/1996,"9397 Ryan Mountain Apt. 432
Joshuastad, NE 57846",001-695-745-3636x8139,bianca02@example.net,0.19,78,64,66,35788,General,Music,Other,20,2,3,National,None,87,288,326,34,73,1,21,0,German,edX,No,Germany,MBA,Software Engineering
Shelly Hall,S369701,Mechanical,B,3rd,2026,8/18/1998,"5013 Mullen Prairie
New Lauren, DC 19128",-5787,michaelphelps@example.net,9.63,77,73,64,107494,General,Music,Female,21,4,2,International,Quiz,24,298,704,59,26,8,50,2,English,Coursera,Yes,Australia,PhD,AI
Katherine Fernandez,S289011,Data Science,C,2nd,2026,3/26/1997,"61808 Stephanie Fort Suite 255
Caitlynburgh, DE 33589",(720)504-2233x3145,elizabeth20@example.org,2,73,87,51,49720,General,Sports,Female,20,4,5,International,Quiz,11,289,355,80,103,3,29,0,Chinese,None,No,USA,M.Tech,Machine Learning
Nicole Gray,S931969,Mechanical,C,1st,2027,1/12/2000,"Unit 2762 Box 0505
DPO AA 76616",001-433-603-2807x953,angelawright@example.com,2.77,73,54,95,119796,OBC,None,Male,20,10,1,International,Quiz,48,276,704,52,24,8,78,0,Spanish,None,No,UK,MBA,Data Science
Shannon Watson,S435147,Computer Science,B,3rd,2025,7/1/2000,"2583 Shaun Squares
North Anna, MT 70909",(907)886-4662x3134,imedina@example.org,6.51,92,87,98,39399,SC,None,Male,27,7,2,International,Quiz,54,289,261,17,100,3,25,2,Spanish,None,No,Canada,MBA,AI
Shelly Roberts,S284171,Electronics,C,1st,2025,4/4/2005,"51314 Romero Valley Apt. 055
Lake Matthew, MA 72426",473.541.4663x4600,gordonmichael@example.com,2.6,68,55,61,52276,ST,Arts,Male,26,0,2,Local,None,78,307,627,4,9,3,61,4,English,Udacity,Yes,Germany,M.Sc,AI
Glenn Adams,S566386,Data Science,B,4th,2028,11/27/2001,"6459 Atkinson Key Apt. 479
New Juliaton, SD 37136",3222528740,charlesbaker@example.org,5.1,89,84,59,89366,General,Music,Male,22,4,3,Local,Coding Contest,59,300,366,87,21,9,58,0,German,None,No,Australia,M.Sc,Machine Learning
Michael Hale DDS,S395440,Data Science,A,3rd,2027,3/29/1997,"0048 Madison Pass
Tylerbury, IL 82403",8859553314,jeffreycannon@example.org,2.25,66,57,52,69474,General,Sports,Male,28,5,5,Local,Coding Contest,41,284,225,28,40,0,33,1,Chinese,None,No,Canada,PhD,AI
Mr. Zachary Davis,S805760,Data Science,B,4th,2027,6/9/2002,"6090 Wolfe Groves Suite 877
South Tiffanyhaven, IL 35578",3654866034,barrystephanie@example.net,9.84,66,65,75,58955,SC,None,Female,31,5,1,Local,Hackathon,69,269,760,86,51,1,30,1,French,Coursera,No,Germany,M.Tech,Data Science
Jordan Gibson,S303146,Data Science,C,4th,2026,6/17/1999,"445 Cooper Viaduct
Woodton, OR 53816",354-242-9953x021,orichmond@example.com,7.39,71,55,74,110249,OBC,Sports,Other,29,7,4,Local,Hackathon,46,286,289,7,86,0,29,2,English,Coursera,Yes,UK,M.Tech,Software Engineering
Shannon Andrade,S339097,Computer Science,A,3rd,2026,5/16/2006,"0828 Thomas Heights Suite 643
Ronaldside, KY 45768",2036380469,michael25@example.com,6.42,84,97,89,111899,ST,None,Male,25,4,1,Local,Hackathon,2,283,373,33,19,8,14,0,Spanish,edX,Yes,Germany,M.Tech,AI
David Hammond,S743329,Data Science,C,3rd,2025,8/12/1996,"39711 William Common Apt. 928
Walkerville, PA 32328",001-604-343-5392x032,jackcortez@example.net,5.69,62,68,92,42631,OBC,Sports,Female,21,3,1,Local,None,7,338,535,76,106,5,80,2,German,None,Yes,Germany,MBA,Software Engineering
Dr. Douglas Brown,S590428,Electronics,C,2nd,2028,3/27/1999,"2501 Luis Fort Suite 545
East Amyshire, PW 22577",342.596.2637,timothywalker@example.com,2.26,57,53,79,39443,SC,None,Male,25,8,0,International,Coding Contest,69,337,533,94,51,5,7,1,German,Coursera,Yes,UK,MBA,AI
Matthew Todd,S833841,Data Science,A,1st,2026,7/10/1997,"PSC 4689, Box 6807
APO AE 25543",(780)808-5018x976,shannonholmes@example.org,1.13,81,89,94,115318,General,None,Other,23,7,2,National,Hackathon,13,260,343,89,45,2,38,3,German,edX,No,UK,PhD,Data Science
Lawrence Smith,S727594,Electronics,A,3rd,2027,5/3/1995,"6733 Sharon Center Apt. 634
Jonesfort, NH 05899",356.993.9866x810,tonyarivers@example.com,3.2,67,79,91,82867,OBC,Arts,Other,28,1,1,Local,Coding Contest,73,310,459,63,79,7,56,5,English,Coursera,No,USA,PhD,Data Science
Kevin Espinoza,S324879,Data Science,C,3rd,2027,5/28/2006,"323 Sanders Mews Suite 930
East Robinfurt, WA 57097",(316)364-2833x3604,hullmartin@example.net,5.54,50,94,52,115330,ST,None,Male,29,8,4,International,Quiz,40,337,308,59,60,5,17,4,Spanish,Coursera,Yes,UK,M.Tech,Machine Learning
Christopher Pham,S684845,Mechanical,A,3rd,2025,8/16/2000,"1502 Joseph Prairie
West Johnshire, VT 02705",993.257.9604x1764,cgraves@example.org,4.46,83,74,67,81257,SC,Arts,Male,24,6,5,International,Hackathon,81,284,558,85,93,6,62,0,German,edX,No,Australia,PhD,Machine Learning
Martin Reed,S942856,Data Science,A,4th,2027,7/21/1997,"19654 Michael Shoal Suite 339
Angelaview, NE 60498",001-558-630-1360,howardcynthia@example.net,5.01,89,56,68,85700,General,Arts,Male,28,0,2,National,Quiz,41,295,639,67,33,8,4,1,German,None,No,Australia,M.Tech,AI
Edward Pacheco,S560455,Computer Science,A,1st,2026,11/8/1996,"905 Barbara Views Apt. 947
East Jose, AL 82460",(497)518-4610,james05@example.net,9.78,77,84,100,34496,General,Music,Male,25,2,2,Local,None,78,306,627,44,74,2,25,1,English,edX,Yes,Canada,M.Tech,AI
Richard Jackson,S300481,Computer Science,A,1st,2025,6/15/1999,"4383 Christina Knolls
Lake Steven, FL 32444",001-210-819-3973,pattersonsamantha@example.net,7.5,83,67,74,80744,ST,Music,Male,22,10,0,International,Quiz,35,315,357,30,93,6,13,3,English,Coursera,Yes,Germany,M.Sc,Machine Learning
Duane Bruce,S663715,Electronics,C,2nd,2025,6/19/2001,"37722 Gray Haven Apt. 992
Davisfort, PR 35741",393.418.2078x1944,vargasjames@example.com,9.45,90,92,56,91256,ST,None,Other,22,5,1,National,None,100,310,254,28,50,4,96,0,French,Coursera,Yes,Germany,M.Tech,Machine Learning
Mr. Aaron King,S580921,Mechanical,B,4th,2028,2/16/1997,"521 Timothy Green
East Elizabeth, FM 92375",595-936-7389x8304,chadhall@example.com,7.45,56,63,90,53691,OBC,Music,Male,24,6,2,International,Coding Contest,26,289,477,42,56,7,4,1,Chinese,Udacity,No,UK,M.Tech,Software Engineering
Thomas Vazquez,S739998,Mechanical,C,1st,2025,12/5/1996,"79669 Martinez Via
Port Tracyshire, PR 32554",(979)612-0679,scottbrooks@example.org,2.76,50,80,88,56701,General,Arts,Male,23,7,3,International,Quiz,72,326,424,62,37,2,1,5,English,edX,No,USA,M.Tech,AI
Brent Brown,S174743,Computer Science,A,1st,2025,10/25/2000,"104 Knapp Trafficway Suite 487
North Charles, TX 20177",001-614-512-1765x8275,xbailey@example.com,7.37,89,88,70,109351,General,Arts,Other,27,10,3,National,Hackathon,13,273,631,11,79,7,1,3,English,edX,Yes,UK,PhD,Machine Learning
William Padilla,S981368,Data Science,C,3rd,2025,3/28/2005,"6023 Chelsea Cliff
Castillohaven, CA 01784",907.445.8401,kimberly11@example.org,6.79,50,52,72,41140,SC,Sports,Other,20,4,0,International,Quiz,11,318,362,46,25,4,20,4,French,edX,No,UK,M.Sc,AI
Sandra Clark MD,S832763,Data Science,B,2nd,2025,9/27/2004,"81159 Stacey Rue Suite 285
Lake Alison, ME 48319",621-246-1600x62097,ian16@example.com,5.18,78,70,78,38929,ST,Arts,Male,28,4,4,National,Quiz,39,287,322,79,118,8,63,0,Spanish,Udacity,No,Germany,MBA,Machine Learning
Kristen Fleming,S896403,Electronics,C,3rd,2028,7/7/2006,"310 Humphrey Loaf Apt. 692
New Chelsea, TN 08304",001-939-535-5109x1238,westalexis@example.net,5.95,81,100,76,114125,General,None,Female,24,0,2,Local,Coding Contest,56,324,656,60,99,9,68,5,French,edX,Yes,Australia,PhD,Software Engineering
Jenna Frazier,S551999,Mechanical,A,4th,2027,2/13/2006,"9126 Murphy Station Apt. 888
Catherinefurt, AL 72107",+1-612-931-7520x981,dustingray@example.com,8.63,64,85,88,63142,General,Sports,Other,28,1,5,Local,Hackathon,35,326,716,13,40,7,22,3,English,Coursera,Yes,Germany,MBA,Data Science
Kristin Smith,S173543,Computer Science,A,3rd,2027,8/5/1995,"6288 Hall Trail Apt. 439
Johnsontown, MP 25984",+1-471-293-8434x008,johnsonyesenia@example.net,1.6,52,80,53,45365,SC,Sports,Female,30,3,5,International,Quiz,46,302,718,38,57,7,76,5,German,Udacity,Yes,Canada,M.Sc,AI
Daniel Mcgee,S839126,Mechanical,B,2nd,2027,11/7/2002,"19222 Juan Island
North Teresa, OR 85641",-1157,danielho@example.org,2.59,62,52,80,35017,ST,None,Other,18,0,1,International,None,11,300,548,37,78,5,56,1,Chinese,None,Yes,Canada,M.Sc,AI
Sherry Davis MD,S267654,Computer Science,C,4th,2028,10/12/2000,"242 Barnes Prairie
Royberg, IL 83451",(995)588-0830x83648,xcampbell@example.com,6.52,87,99,54,33349,ST,Sports,Other,19,9,3,International,Coding Contest,91,319,582,47,7,7,5,1,German,Coursera,No,USA,M.Sc,Data Science
James Zhang,S395949,Data Science,A,4th,2025,5/23/2002,"21720 Romero Ridges Apt. 759
Lake Katieshire, VA 94881",229-622-2846,matthew97@example.org,4.26,92,78,55,102198,ST,Arts,Male,21,1,4,Local,Coding Contest,70,282,280,20,30,0,72,3,German,edX,No,USA,M.Tech,Software Engineering
Kristina Contreras,S967113,Data Science,B,1st,2026,2/23/1997,"818 Michael Islands Apt. 088
Taylorstad, MP 15665",001-734-994-8091x510,zhernandez@example.com,3.95,95,81,62,51179,ST,Arts,Female,20,8,1,International,None,28,293,311,91,48,2,56,3,English,Udacity,Yes,Canada,MBA,Machine Learning
Lindsay Miller,S475879,Data Science,A,2nd,2026,8/16/1999,"37881 Smith Lodge
Brandonstad, SC 45765",880.609.6875,mmathis@example.com,2.57,65,73,83,107226,ST,Sports,Male,26,9,5,International,Hackathon,37,337,458,47,94,8,96,5,German,Coursera,No,Canada,PhD,Machine Learning
Samuel Horne,S998388,Mechanical,A,3rd,2027,1/4/1997,"USNV Nguyen
FPO AE 58843",001-677-413-1104x767,slewis@example.com,6.5,90,57,51,96373,General,Sports,Other,20,8,5,National,Quiz,27,313,565,58,97,5,28,4,Spanish,None,No,UK,PhD,Data Science
Maurice Brown,S957726,Computer Science,C,2nd,2025,6/27/1999,"4858 Hardin Curve Suite 859
South Joseph, AZ 02008",320-379-5793,kvasquez@example.net,0.55,51,60,82,113388,OBC,Arts,Other,21,10,5,Local,Hackathon,40,264,745,83,83,2,51,3,French,edX,No,UK,MBA,AI
Gerald Williams,S301130,Data Science,A,4th,2025,10/17/1999,"4350 Clark Heights Suite 587
New Charlesside, IN 27581",3587967882,rdennis@example.com,3.05,61,96,90,82157,ST,None,Female,20,8,5,Local,Hackathon,46,297,579,26,0,7,60,2,Chinese,Coursera,Yes,UK,M.Sc,Machine Learning
Pamela Conway,S879128,Data Science,B,2nd,2025,4/18/2002,"60825 Harris Prairie
Jeremystad, NH 50057",523-606-0917,nholden@example.org,0.45,96,50,57,99628,SC,None,Female,25,9,0,International,Hackathon,17,268,372,78,113,4,99,0,English,edX,Yes,Canada,MBA,Software Engineering
Katie Mcfarland,S480027,Electronics,C,2nd,2027,6/21/2000,"468 Peters Via Suite 138
North Linda, MH 12257",(596)507-9695x12675,kellycolin@example.net,7.32,85,63,57,118030,OBC,Sports,Male,30,6,3,International,None,53,318,346,24,48,6,83,4,Spanish,edX,Yes,USA,M.Sc,Machine Learning
Elizabeth Allison,S115296,Mechanical,C,4th,2025,7/7/1994,"218 Gary Island Apt. 014
Debbiemouth, DE 16298",596.648.2772,beardgeorge@example.com,9.41,57,93,68,30149,ST,None,Other,27,2,0,Local,Coding Contest,78,340,380,41,44,9,85,0,Spanish,Udacity,Yes,UK,M.Sc,Software Engineering
Jesse Cox,S401574,Data Science,B,1st,2027,5/25/2004,"68132 Reid Crest Apt. 435
North Stuart, NE 16618",(528)427-6066x5331,brianhill@example.org,2.61,99,95,59,88779,OBC,Arts,Other,22,9,0,National,Quiz,90,324,400,75,37,8,83,2,German,edX,Yes,UK,MBA,AI
Barbara Mercado,S931849,Data Science,C,3rd,2025,5/6/1996,"6363 Jessica Tunnel Suite 644
Patrickfort, WV 61575",9969396211,aanderson@example.net,9.01,84,72,85,42059,ST,None,Other,21,3,2,International,Hackathon,21,337,220,56,44,8,68,3,Spanish,Udacity,No,UK,M.Sc,Data Science
